GameIndex,Date,Color,Opponent,Outcome,TimeControl,Termination,MyMoves,Blunders,Mistakes,Inaccuracies,TotalCPLoss,AvgCPLoss,MedianMoveCPLoss
109,2026.03.06,Black,adamc46,Win,180+2,KatsMeow23 won by checkmate,73,4,4,16,4925,67.46575342465754,32.0
110,2026.03.06,White,FuzzeyBlaze,Loss,180+2,FuzzeyBlaze won on time,43,2,1,8,2522,58.651162790697676,10.0
111,2026.03.06,White,sjakkArvid,Win,180+2,KatsMeow23 won by checkmate,23,0,0,5,572,24.869565217391305,14.0
112,2026.03.06,White,cagankahya0,Win,180+2,KatsMeow23 won by checkmate,22,1,3,3,2055,93.4090909090909,29.5
113,2026.03.06,White,ontopi357,Win,1/86400,KatsMeow23 won by resignation,15,2,0,1,935,62.333333333333336,13.0
114,2026.03.06,Black,Ermul1,Win,180+2,KatsMeow23 won by resignation,18,0,1,4,757,42.05555555555556,28.5
115,2026.03.07,Black,Dazai30,Loss,180+2,Dazai30 won by checkmate,38,5,5,6,4386,115.42105263157895,40.0
116,2026.03.07,White,sprout_eater,Loss,180+2,sprout_eater won on time,23,0,5,3,1631,70.91304347826087,28.0
117,2026.03.07,White,saiman1234,Loss,180+2,saiman1234 won on time,31,4,2,7,2746,88.58064516129032,31.0
118,2026.03.07,Black,navisa13,Loss,180+2,navisa13 won on time,32,1,2,6,1741,54.40625,33.0
119,2026.03.07,White,kimjonglukek,Loss,180+2,kimjonglukek won on time,48,3,3,12,3681,76.6875,25.5
120,2026.03.07,Black,Naga_Srinivas,Loss,600,Naga_Srinivas won by resignation,35,1,2,12,2269,64.82857142857142,27.0
121,2026.03.07,White,spleefer420,Win,180+2,KatsMeow23 won by resignation,40,3,5,8,3624,90.6,34.5
122,2026.03.07,White,HKS691,Win,180+2,KatsMeow23 won by resignation,22,0,1,3,704,32.0,21.0
123,2026.03.07,Black,kapilsharma0403,Win,180+2,KatsMeow23 won on time,29,0,1,9,1311,45.206896551724135,31.0
124,2026.03.07,Black,shamwowwwwww,Win,180+2,KatsMeow23 won by checkmate,45,4,3,14,5456,121.24444444444444,37.0
125,2026.03.07,Black,ajpj12,Loss,180+2,ajpj12 won by resignation,55,1,6,16,3503,63.69090909090909,40.0
126,2026.03.08,White,stev123321,Loss,180+2,stev123321 won on time,24,2,3,8,3148,131.16666666666666,68.0
127,2026.03.04,White,Nombrefake2,Win,1/86400,KatsMeow23 won by resignation,39,1,3,10,1856,47.58974358974359,13.0
128,2026.03.08,Black,FrulaMira,Win,180+2,KatsMeow23 won by checkmate,63,9,5,8,9708,154.0952380952381,14.0
129,2026.03.09,White,Hellterrorx1234,Draw,180+2,Game drawn by repetition,58,2,5,8,3129,53.94827586206897,17.5
130,2026.03.06,White,shrey4353l,Win,1/86400,KatsMeow23 won by resignation,31,4,5,7,5788,186.70967741935485,51.0
131,2026.03.09,White,orthobro555,Loss,180+2,orthobro555 won by checkmate,54,2,1,15,3369,62.388888888888886,20.5
132,2026.03.09,Black,tiThechesss,Win,180+2,KatsMeow23 won - game abandoned,3,0,0,0,61,20.333333333333332,27.0
133,2026.03.09,Black,ali_2561,Loss,180+2,ali_2561 won by checkmate,34,3,5,9,3668,107.88235294117646,40.0
134,2026.03.06,Black,Mimmocuiuri,Win,1/86400,KatsMeow23 won by resignation,21,0,0,5,499,23.761904761904763,0.0
135,2026.03.10,White,bari2cold,Win,180+2,KatsMeow23 won by checkmate,20,0,0,5,573,28.65,23.0
136,2026.03.10,White,Lucja_K9,Win,180+2,KatsMeow23 won by resignation,12,0,0,3,437,36.416666666666664,31.5
137,2026.03.10,Black,PietVerdriet95,Loss,180+2,PietVerdriet95 won by checkmate,45,5,5,13,6594,146.53333333333333,50.0
138,2026.03.04,Black,valdilutik,Loss,1/86400,valdilutik won by resignation,60,4,4,21,5987,99.78333333333333,45.0
139,2026.03.10,White,Ranablu,Loss,600,Ranablu won by resignation,25,2,2,8,2349,93.96,47.0
140,2026.03.10,Black,A_P_A_L_A_K,Win,180+2,KatsMeow23 won by resignation,19,3,2,3,2728,143.57894736842104,46.0
141,2026.03.10,White,traver101,Win,180+2,KatsMeow23 won by checkmate,28,1,1,5,1908,68.14285714285714,22.0
142,2026.03.10,White,Dhruv130183,Win,180+2,KatsMeow23 won - game abandoned,10,0,0,1,250,25.0,13.0
143,2026.03.10,Black,DaChessmaster3000,Loss,180+2,DaChessmaster3000 won on time,24,3,2,0,1680,70.0,6.5
144,2026.03.10,Black,andymox004,Win,180+2,KatsMeow23 won by resignation,19,1,2,3,1240,65.26315789473684,12.0
145,2026.03.10,White,kardec45,Loss,600,kardec45 won by checkmate,39,4,3,7,4297,110.17948717948718,24.0
146,2026.03.10,White,pedrolucas5312,Win,180+2,KatsMeow23 won - game abandoned,6,0,0,3,316,52.666666666666664,37.5
147,2026.03.10,White,bnn0,Win,180+2,KatsMeow23 won by resignation,12,0,2,1,546,45.5,19.0
148,2026.03.10,Black,def409,Loss,180+2,def409 won by checkmate,6,1,1,1,1375,229.16666666666666,43.0
149,2026.03.10,Black,khaled_kerm,Loss,180+2,khaled_kerm won by checkmate,47,1,3,11,3107,66.1063829787234,31.0
150,2026.03.10,Black,Giankioski,Loss,180+2,Giankioski won by checkmate,17,4,3,2,3542,208.35294117647058,51.0
151,2026.03.10,White,jaasonjones,Loss,180+2,jaasonjones won by checkmate,31,3,3,7,4099,132.2258064516129,20.0
152,2026.03.10,Black,gsilva1215,Loss,600,gsilva1215 won by resignation,40,2,7,7,3632,90.8,38.0
153,2026.03.10,White,raya8088,Win,1/86400,KatsMeow23 won on time,2,0,0,0,14,7.0,7.0
154,2026.03.10,White,Jebz-fr,Loss,1/86400,Jebz-fr won by resignation,21,2,2,3,2199,104.71428571428571,25.0
155,2026.03.12,White,Jeszicat,Draw,180+2,Game drawn by stalemate,76,4,4,9,3934,51.76315789473684,9.0
156,2026.03.12,Black,mlemich25,Loss,180+2,mlemich25 won on time,29,1,3,11,2975,102.58620689655173,53.0
157,2026.03.12,Black,islamilen,Loss,180+2,islamilen won on time,31,4,1,4,3146,101.48387096774194,9.0
158,2026.03.12,White,Danileitor5000,Win,180+2,KatsMeow23 won by resignation,26,0,2,8,1437,55.26923076923077,29.0
159,2026.03.12,White,hema980,Loss,180+2,hema980 won on time,56,8,4,13,8153,145.58928571428572,37.5
160,2026.03.12,Black,hema980,Loss,180+2,hema980 won on time,28,2,2,9,2209,78.89285714285714,32.5
161,2026.03.12,Black,Koko0519,Loss,180+2,Koko0519 won on time,25,1,4,7,2355,94.2,49.0
162,2026.03.10,Black,1joke11,Win,1/86400,KatsMeow23 won by resignation,24,1,1,5,1328,55.333333333333336,26.5
163,2026.02.28,Black,adamhofer,Win,1/259200,KatsMeow23 won on time,11,1,2,2,1140,103.63636363636364,2.0
164,2026.03.10,Black,ItsJoeAgain,Win,1/86400,KatsMeow23 won by resignation,37,1,3,13,2199,59.432432432432435,35.0
165,2026.03.12,White,jbrum11,Win,180+2,KatsMeow23 won by resignation,38,1,1,6,1567,41.23684210526316,25.0
166,2026.03.12,White,F1PL,Win,180+2,KatsMeow23 won - game abandoned,10,0,1,2,378,37.8,11.0
167,2026.03.13,White,MurodjonR,Win,180+2,KatsMeow23 won by checkmate,28,1,2,10,2577,92.03571428571429,32.5
168,2026.03.13,Black,MurodjonR,Loss,180+2,MurodjonR won on time,23,1,2,8,1823,79.26086956521739,43.0
169,2026.03.13,Black,CheckyMcCheckersan,Win,180+2,KatsMeow23 won on time,24,0,1,3,759,31.625,24.0
170,2026.03.13,White,fabioflores,Loss,180+2,fabioflores won on time,38,6,4,10,4584,120.63157894736842,55.0
