GameIndex,Date,Color,Opponent,Outcome,TimeControl,Termination,PlyIndex,Phase,MoveUCI,EvalBeforeCP,EvalAfterCP,RawCPLoss,CPLoss,MoveLabel,MoveNumber,SideToMove,MoveSAN,FENBefore,MoveTypeV1,SANTypeV1,BoardZoneV1,PhaseLabelV1,BlunderClassV2
133,2026.03.09,Black,ali_2561,Loss,180+2,ali_2561 won by checkmate,46,Middlegame,e6a2,127,-341,468,468,Blunder,23,Black,Qxa2,r6r/1bkp3p/p1p1q3/4p2Q/4N3/3B4/Pb4PP/1R2R2K b - - 1 23,Piece move,Capture,Queenside-related,Middlegame blunder,Unsafe capture
133,2026.03.09,Black,ali_2561,Loss,180+2,ali_2561 won by checkmate,66,Endgame,b6a7,9997,-9999,19996,1000,Blunder,33,Black,Ka7,r6r/3p3p/pkb3q1/2p1Q3/2Bp4/8/6PP/1R5K b - - 3 33,Piece move,King move,Queenside-related,Endgame blunder,Unsafe king move
137,2026.03.10,Black,PietVerdriet95,Loss,180+2,PietVerdriet95 won by checkmate,56,Middlegame,d8c8,-88,-452,364,364,Blunder,28,Black,Rc8,3r4/3r1kp1/p1N4p/8/R3PP2/3P4/6PP/6K1 b - - 2 28,Piece move,Non-capture,Queenside-related,Middlegame blunder,Quiet move blunder
137,2026.03.10,Black,PietVerdriet95,Loss,180+2,PietVerdriet95 won by checkmate,70,Middlegame,f7g8,-608,-9997,9389,1000,Blunder,35,Black,Kg8,8/5kp1/R5Np/5P2/4P3/3P4/5KPP/1r6 b - - 0 35,Pawn move,King move,Kingside-related,Middlegame blunder,Unsafe king move
137,2026.03.10,Black,PietVerdriet95,Loss,180+2,PietVerdriet95 won by checkmate,72,Endgame,b1b4,-654,-9997,9343,1000,Blunder,36,Black,Rb4,6k1/6p1/R5Np/5P2/3PP3/8/5KPP/1r6 b - - 0 36,Piece move,Non-capture,Queenside-related,Endgame blunder,Endgame conversion/collapse
137,2026.03.10,Black,PietVerdriet95,Loss,180+2,PietVerdriet95 won by checkmate,74,Endgame,g8h7,-699,-9996,9297,1000,Blunder,37,Black,Kh7,6k1/6p1/R5Np/5P2/1r1PP3/4K3/6PP/8 b - - 2 37,Piece move,King move,Kingside-related,Endgame blunder,Unsafe king move
137,2026.03.10,Black,PietVerdriet95,Loss,180+2,PietVerdriet95 won by checkmate,90,Endgame,h4h3,-1050,-9999,8949,1000,Blunder,45,Black,h3,3Q4/R5pk/6N1/5P2/4P2p/5K2/7r/8 b - - 2 45,Piece move,Non-capture,Kingside-related,Endgame blunder,Endgame conversion/collapse
138,2026.03.04,Black,valdilutik,Loss,1/86400,valdilutik won by resignation,28,Middlegame,a7b6,176,-201,377,377,Blunder,14,Black,axb6,r1bq1rk1/p2p1p1p/1P2p1p1/6b1/3QP1n1/2NB4/PPP2PPP/1K1R2NR b - - 0 14,Pawn move,Capture,Queenside-related,Early middlegame blunder,Unsafe capture
138,2026.03.04,Black,valdilutik,Loss,1/86400,valdilutik won by resignation,48,Middlegame,h7h6,9997,365,9632,1000,Blunder,24,Black,h6,r4rk1/5pbp/b3p1p1/q2p2N1/1p3P1P/1P1PQ1N1/P5P1/1K1R3R b - - 0 24,Pawn move,Non-capture,Kingside-related,Middlegame blunder,Kingside weakening move
138,2026.03.04,Black,valdilutik,Loss,1/86400,valdilutik won by resignation,50,Middlegame,a5a3,9995,208,9787,1000,Blunder,25,Black,Qa3,r4rk1/5pb1/b3p1pp/q2p4/1p3P1P/1P1PQNN1/P5P1/1K1R3R b - - 1 25,Piece move,Non-capture,Queenside-related,Middlegame blunder,Quiet move blunder
