GameIndex,Date,Color,Opponent,Outcome,TimeControl,Termination,PlyIndex,Phase,MoveUCI,EvalBeforeCP,EvalAfterCP,RawCPLoss,CPLoss,MoveLabel
16,2026.02.26,Black,suhas81,Loss,600,suhas81 won by checkmate,60,Middlegame,d6h2,621,-88,709,709,Blunder
16,2026.02.26,Black,suhas81,Loss,600,suhas81 won by checkmate,64,Middlegame,c8d7,31,-454,485,485,Blunder
16,2026.02.26,Black,suhas81,Loss,600,suhas81 won by checkmate,66,Middlegame,d7e7,-729,-9992,9263,1000,Blunder
16,2026.02.26,Black,suhas81,Loss,600,suhas81 won by checkmate,68,Middlegame,e7f6,5,-377,382,382,Blunder
17,2026.02.26,Black,Ch3ssPl2y3r,Loss,600,Ch3ssPl2y3r won by resignation,44,Endgame,c6e5,80,-359,439,439,Blunder
18,2026.02.26,White,marufansari,Win,600,KatsMeow23 won by resignation,23,Middlegame,e4d6,113,-367,480,480,Blunder
19,2026.02.26,Black,lolAtharva,Loss,180+2,lolAtharva won on time,36,Middlegame,g4f6,242,-75,317,317,Blunder
20,2026.02.26,White,Qxj7,Loss,600,Qxj7 won by resignation,31,Middlegame,f2f4,-24,-333,309,309,Blunder
20,2026.02.26,White,Qxj7,Loss,600,Qxj7 won by resignation,43,Middlegame,c3d5,97,-357,454,454,Blunder
20,2026.02.26,White,Qxj7,Loss,600,Qxj7 won by resignation,89,Middlegame,h1h7,9995,0,9995,1000,Blunder
20,2026.02.26,White,Qxj7,Loss,600,Qxj7 won by resignation,93,Endgame,g5g6,0,-658,658,658,Blunder
21,2026.02.26,White,moeid14,Loss,180+2,moeid14 won on time,17,Opening,d1d2,161,-168,329,329,Blunder
21,2026.02.26,White,moeid14,Loss,180+2,moeid14 won on time,45,Middlegame,h6h7,9998,-356,10354,1000,Blunder
21,2026.02.26,White,moeid14,Loss,180+2,moeid14 won on time,65,Middlegame,b5c4,183,-166,349,349,Blunder
21,2026.02.26,White,moeid14,Loss,180+2,moeid14 won on time,67,Endgame,a1d1,232,-126,358,358,Blunder
21,2026.02.26,White,moeid14,Loss,180+2,moeid14 won on time,69,Endgame,g1h2,101,-291,392,392,Blunder
21,2026.02.26,White,moeid14,Loss,180+2,moeid14 won on time,71,Endgame,h2g3,-253,-9996,9743,1000,Blunder
21,2026.02.26,White,moeid14,Loss,180+2,moeid14 won on time,73,Endgame,f1g1,-610,-9997,9387,1000,Blunder
